边 : 卖 0 | 迷 1 | 亮 2 | 屋 3 | 盖 4 | 衣 5 | 举 6 | 昌 7 | 房 8 | 患 9 | 癌 10 | 症 11 | 瓜 12 | 伤 13 | 净 14 | 池 15 | 冒 16 | 伸 17 | 征 18 | 腾 19 | 

饿 : 缠 0 | 冀 1 | 呵 2 | 沥 3 | 倦 4 | 栖 5 | 拣 6 | 忌 7 | 珊 8 | 霖 9 | 瞻 10 | 驿 11 | 斩 12 | 宠 13 | 崎 14 | 咐 15 | 麓 16 | 峭 17 | 瓣 18 | 玫 19 | 

ｔ : 糟 0 | 栖 1 | 祈 2 | 骆 3 | 玫 4 | 朔 5 | 拣 6 | 宠 7 | 呵 8 | 孵 9 | 柑 10 | 珊 11 | 谆 12 | 沪 13 | 椰 14 | 聂 15 | 崎 16 | 皱 17 | 墅 18 | 酱 19 | 

仔 : 喀 0 | 鬼 1 | 拳 2 | 谦 3 | 沪 4 | 蕴 5 | 饥 6 | 萎 7 | 猫 8 | 饿 9 | 眉 10 | 嫁 11 | 啥 12 | 抹 13 | 恒 14 | 刹 15 | 暗 16 | 屯 17 | 渝 18 | 赣 19 | 

骛 : 鳖 0 | 辫 1 | 攥 2 | 钠 3 | 珩 4 | 炖 5 | 玷 6 | 嘶 7 | 戛 8 | 濮 9 | 芷 10 | 镍 11 | 箫 12 | 赳 13 | 淅 14 | 裘 15 | 羌 16 | 惭 17 | 孢 18 | 撮 19 | 

。 : 大 0 | 等 1 | 于 2 | 家 3 | 镇 4 | 胜 5 | 东 6 | 了 7 | 军 8 | 门 9 | 以 10 | 里 11 | 要 12 | 驻 13 | 得 14 | 客 15 | 头 16 | 星 17 | 出 18 | 面 19 | 

插 : 鬼 0 | 猫 1 | 饿 2 | 喀 3 | 蜂 4 | 蕴 5 | 拾 6 | 奸 7 | 垂 8 | 谦 9 | 幻 10 | 拳 11 | 恒 12 | 忌 13 | 屯 14 | 嫁 15 | 缠 16 | 抹 17 | 婉 18 | 兽 19 | 

一 : 时 0 | 目 1 | 之 2 | 回 3 | 采 4 | 各 5 | 谈 6 | 某 7 | 约 8 | 减 9 | 支 10 | 青 11 | 救 12 | 密 13 | 足 14 | 树 15 | 课 16 | 扶 17 | 特 18 | 语 19 | 

泊 : 菊 0 | 撼 1 | 肤 2 | 穴 3 | 淑 4 | 荫 5 | 秆 6 | 崖 7 | 淀 8 | 杉 9 | 焰 10 | 馈 11 | 薪 12 | 踪 13 | 鹤 14 | 筝 15 | 恋 16 | 绎 17 | 旋 18 | 弦 19 | 

跆 : 氯 0 | 蚌 1 | 凛 2 | 颐 3 | 摒 4 | 琉 5 | 焉 6 | 侮 7 | 皱 8 | 孵 9 | 咆 10 | 谆 11 | 珀 12 | 赡 13 | 锲 14 | 窘 15 | 镌 16 | 舅 17 | 蚊 18 | 霓 19 | 

瑰 : 哮 0 | 壑 1 | 掷 2 | 坞 3 | 穹 4 | 殴 5 | 剔 6 | 酶 7 | 梓 8 | 疤 9 | 陲 10 | 虞 11 | 痰 12 | 峭 13 | 匡 14 | 藉 15 | 檀 16 | 挟 17 | 仕 18 | 榴 19 | 

拣 : 懒 0 | 熬 1 | 琢 2 | 呐 3 | 晃 4 | 猴 5 | 宠 6 | 拣 7 | 蜡 8 | 峙 9 | 栖 10 | 馒 11 | 氨 12 | 咋 13 | 铮 14 | 烫 15 | 溜 16 | 朔 17 | 榨 18 | 崎 19 | 

今 : 曾 0 | 由 1 | 落 2 | 升 3 | 以 4 | 此 5 | 摆 6 | 予 7 | 得 8 | 坐 9 | 赴 10 | 写 11 | 诸 12 | 带 13 | 涉 14 | 叫 15 | 冬 16 | 求 17 | 尊 18 | 你 19 | 

６ : 足 0 | 此 1 | 避 2 | 求 3 | 敢 4 | 升 5 | 妥 6 | 约 7 | 促 8 | 得 9 | 谁 10 | 累 11 | 取 12 | 封 13 | 写 14 | 号 15 | 辈 16 | 目 17 | 宽 18 | 幸 19 | 

改 : 发 0 | 特 1 | 支 2 | 阶 3 | 开 4 | 各 5 | 试 6 | 改 7 | 专 8 | 信 9 | 消 10 | 认 11 | 谈 12 | 鼓 13 | 赞 14 | 救 15 | 课 16 | 坚 17 | 欢 18 | 之 19 | 

商 : 援 0 | 亮 1 | 高 2 | 购 3 | 册 4 | 写 5 | 架 6 | 忧 7 | 衣 8 | 疑 9 | 痛 10 | 词 11 | 客 12 | 彩 13 | 勤 14 | 约 15 | 圈 16 | 码 17 | 旁 18 | 胜 19 | 

围 : 桑 0 | 牛 1 | 麦 2 | 杰 3 | 客 4 | 瓦 5 | 图 6 | 篮 7 | 弹 8 | 衣 9 | 洛 10 | 贝 11 | 杂 12 | 雪 13 | 彩 14 | 弟 15 | 曼 16 | 蒂 17 | 盗 18 | 暴 19 | 

形 : 信 0 | 文 1 | 运 2 | 防 3 | 农 4 | 救 5 | 安 6 | 课 7 | 遗 8 | 价 9 | 谈 10 | 投 11 | 卫 12 | 利 13 | 污 14 | 专 15 | 仪 16 | 暴 17 | 货 18 | 热 19 | 

湖 : 杰 0 | 瓦 1 | 图 2 | 牛 3 | 洛 4 | 麦 5 | 贝 6 | 弹 7 | 曼 8 | 奇 9 | 客 10 | 德 11 | 衣 12 | 伟 13 | 军 14 | 兴 15 | 杂 16 | 演 17 | 油 18 | 蒂 19 | 

客 : 贴 0 | 痛 1 | 扣 2 | 写 3 | 升 4 | 亮 5 | 返 6 | 衷 7 | 皇 8 | 掉 9 | 忧 10 | 码 11 | 缩 12 | 珠 13 | 疑 14 | 畏 15 | 默 16 | 穿 17 | 夏 18 | 旁 19 | 

克 : 油 0 | 麦 1 | 路 2 | 洋 3 | 菜 4 | 篮 5 | 镇 6 | 彩 7 | 衣 8 | 侨 9 | 谢 10 | 藏 11 | 蒂 12 | 弟 13 | 客 14 | 围 15 | 雪 16 | 牛 17 | 洛 18 | 疆 19 | 

萃 : 肤 0 | 崖 1 | 衔 2 | 毯 3 | 绎 4 | 禹 5 | 拾 6 | 秆 7 | 芒 8 | 穴 9 | 奸 10 | 赃 11 | 瑰 12 | 鹤 13 | 猫 14 | 恋 15 | 殿 16 | 兽 17 | 阀 18 | 淌 19 | 

瞄 : 镌 0 | 盏 1 | 锲 2 | 郅 3 | 蔼 4 | 窒 5 | 铱 6 | ─ 7 | 璐 8 | 怦 9 | 滦 10 | 徜 11 | 湃 12 | 篑 13 | 潢 14 | 蚂 15 | 俨 16 | 殚 17 | 暇 18 | 菏 19 | 

樱 : 捏 0 | 惶 1 | 猴 2 | 凿 3 | 熬 4 | 蜡 5 | 氨 6 | 咋 7 | 耿 8 | 拣 9 | 懒 10 | 瞄 11 | 馒 12 | 锄 13 | 呐 14 | 梧 15 | 骆 16 | 峙 17 | 磷 18 | 扒 19 | 

杠 : 萎 0 | 绑 1 | 邵 2 | 谦 3 | 屯 4 | 冤 5 | 鞍 6 | 熏 7 | 绚 8 | 呵 9 | 溜 10 | 栖 11 | 抹 12 | 珊 13 | 喧 14 | 蜂 15 | 跻 16 | 敷 17 | 愚 18 | 赣 19 | 

易 : 视 0 | 赠 1 | 险 2 | 湾 3 | 值 4 | 洋 5 | 责 6 | 势 7 | 测 8 | 蓄 9 | 疫 10 | 疆 11 | 径 12 | 洁 13 | 裁 14 | 染 15 | 献 16 | 御 17 | 帜 18 | 藏 19 | 

防 : 热 0 | 驾 1 | 锻 2 | 暴 3 | 垃 4 | 禁 5 | 欢 6 | 恢 7 | 遗 8 | 宗 9 | 赞 10 | 覆 11 | 甲 12 | 塑 13 | 戏 14 | 菲 15 | 浓 16 | 饲 17 | 踊 18 | 救 19 | 

青 : 热 0 | 驾 1 | 锻 2 | 遗 3 | 垃 4 | 宗 5 | 覆 6 | 欢 7 | 甲 8 | 暴 9 | 浓 10 | 恢 11 | 戏 12 | 胸 13 | 赞 14 | 禁 15 | 混 16 | 塑 17 | 伟 18 | 菲 19 | 

踊 : 鞍 0 | 绚 1 | 冤 2 | 溜 3 | 栖 4 | 绑 5 | 抹 6 | 嗓 7 | 跻 8 | 邵 9 | 谦 10 | 敷 11 | 愚 12 | 屯 13 | 熏 14 | 饥 15 | 祈 16 | 糟 17 | 咸 18 | 喧 19 | 

氦 : 轶 0 | 淇 1 | 盹 2 | 睬 3 | 屉 4 | 徨 5 | 鹜 6 | 葩 7 | 狡 8 | 稣 9 | 糯 10 | 捺 11 | 噜 12 | 妖 13 | 羹 14 | 撷 15 | 鸫 16 | 菩 17 | 嶙 18 | 峥 19 | 

蹉 : 糠 0 | 糅 1 | 嗅 2 | 楣 3 | 岷 4 | 荤 5 | 箫 6 | 戛 7 | 淅 8 | 偕 9 | 觞 10 | 羹 11 | 妖 12 | 辫 13 | 赳 14 | 霆 15 | 砭 16 | 峁 17 | 椭 18 | 钒 19 | 

唉 : 鲟 0 | 拗 1 | 仟 2 | 矾 3 | 唏 4 | 龛 5 | 酪 6 | 谕 7 | 荥 8 | 菪 9 | 麒 10 | 赅 11 | 靓 12 | 碣 13 | 氦 14 | 咣 15 | 踉 16 | 颍 17 | 笪 18 | 亳 19 | 

锄 : 忪 0 | 喱 1 | 饧 2 | 鹚 3 | 轫 4 | 苋 5 | 桀 6 | 嵋 7 | 瑁 8 | 耷 9 | 缱 10 | 跫 11 | 诌 12 | 鲭 13 | 誊 14 | 屐 15 | 蟾 16 | 璎 17 | 氵 18 | 蕲 19 | 

腕 : 帧 0 | 甬 1 | 铿 2 | 潢 3 | 厮 4 | 湃 5 | 烷 6 | 滦 7 | 娅 8 | 炜 9 | 怦 10 | 铱 11 | 邃 12 | 涿 13 | 绮 14 | 娣 15 | 袤 16 | 锲 17 | 蔼 18 | 殚 19 | 

战 : 消 0 | 谈 1 | 农 2 | 赞 3 | 救 4 | 禁 5 | 支 6 | 专 7 | 防 8 | 欢 9 | 课 10 | 恢 11 | 垃 12 | 特 13 | 鼓 14 | 利 15 | 遗 16 | 锻 17 | 塑 18 | 卫 19 | 

司 : 购 0 | 星 1 | 镇 2 | 岛 3 | 蓄 4 | 家 5 | 贺 6 | 志 7 | 御 8 | 亮 9 | 字 10 | 衣 11 | 疑 12 | 出 13 | 门 14 | 菜 15 | 客 16 | 偿 17 | 胜 18 | 部 19 | 

然 : 赠 0 | 洁 1 | 值 2 | 蓄 3 | 洋 4 | 势 5 | 萄 6 | 险 7 | 御 8 | 责 9 | 径 10 | 湾 11 | 谢 12 | 偿 13 | 慨 14 | 刷 15 | 旨 16 | 疫 17 | 旱 18 | 藏 19 | 

苏 : 麦 0 | 彩 1 | 雪 2 | 牛 3 | 篮 4 | 衣 5 | 洛 6 | 客 7 | 菜 8 | 蒂 9 | 弟 10 | 苏 11 | 侨 12 | 路 13 | 弹 14 | 谢 15 | 围 16 | 旋 17 | 图 18 | 默 19 | 

既 : 谁 0 | 尊 1 | 摆 2 | 避 3 | 促 4 | 幸 5 | 尤 6 | 懂 7 | 扩 8 | 妥 9 | 既 10 | 敢 11 | 坐 12 | 诸 13 | 截 14 | 升 15 | 涉 16 | 凭 17 | 宽 18 | 冬 19 | 

陈 : 徐 0 | 董 1 | 乌 2 | 袁 3 | 龚 4 | 魏 5 | 陈 6 | 挑 7 | 宗 8 | 亚 9 | 圣 10 | 贝 11 | 汽 12 | 黑 13 | 霍 14 | 遗 15 | 廖 16 | 菲 17 | 曼 18 | 乔 19 | 

藜 : 鲇 0 | 簪 1 | 碓 2 | 酩 3 | 蜃 4 | 鳅 5 | 嗲 6 | 诘 7 | 荚 8 | 筠 9 | 祢 10 | 夼 11 | 椴 12 | 麾 13 | 苕 14 | 啜 15 | 琏 16 | 沏 17 | 蟥 18 | 魇 19 | 

蕤 : 谕 0 | 碣 1 | 酪 2 | 靓 3 | 荥 4 | 筵 5 | 颍 6 | 蓿 7 | 矾 8 | 菪 9 | 踉 10 | 骧 11 | 鲢 12 | 榛 13 | 勐 14 | 龛 15 | 拈 16 | 邈 17 | 谤 18 | 泔 19 | 

煊 : 沏 0 | 敕 1 | 瓤 2 | 蜃 3 | 椴 4 | 嗨 5 | 诘 6 | 酰 7 | 缳 8 | 筠 9 | 煸 10 | 豇 11 | 嗲 12 | 鹦 13 | 鳏 14 | 鼾 15 | 菽 16 | 魇 17 | 慵 18 | 溆 19 | 

语 : 默 0 | 痛 1 | 亮 2 | 皇 3 | 珠 4 | 返 5 | 暗 6 | 扣 7 | 码 8 | 旁 9 | 词 10 | 恒 11 | 募 12 | 闲 13 | 客 14 | 忧 15 | 磨 16 | 圈 17 | 掉 18 | 穿 19 | 

发 : 支 0 | 各 1 | 特 2 | 试 3 | 开 4 | 阶 5 | 谈 6 | 专 7 | 救 8 | 之 9 | 课 10 | 改 11 | 认 12 | 语 13 | 采 14 | 目 15 | 赞 16 | 减 17 | 欢 18 | 回 19 | 

污 : 救 0 | 赞 1 | 防 2 | 谈 3 | 垃 4 | 遗 5 | 卫 6 | 欢 7 | 课 8 | 专 9 | 文 10 | 伟 11 | 污 12 | 仪 13 | 塑 14 | 暴 15 | 利 16 | 运 17 | 锻 18 | 菲 19 | 

民 : 高 0 | 部 1 | 出 2 | 利 3 | 家 4 | 带 5 | 约 6 | 军 7 | 程 8 | 胜 9 | 兴 10 | 写 11 | 任 12 | 亮 13 | 救 14 | 客 15 | 控 16 | 谈 17 | 志 18 | 均 19 | 

汽 : 锻 0 | 禁 1 | 垃 2 | 恢 3 | 覆 4 | 赞 5 | 浓 6 | 零 7 | 胸 8 | 甲 9 | 遵 10 | 遗 11 | 戏 12 | 塑 13 | 孤 14 | 欢 15 | 饲 16 | 暴 17 | 混 18 | 稽 19 | 

徨 : 峁 0 | 燧 1 | 胤 2 | 硼 3 | 狞 4 | 噜 5 | 楣 6 | 卤 7 | 诧 8 | 腆 9 | 羹 10 | 怏 11 | 陛 12 | 珲 13 | 盹 14 | 锏 15 | 糅 16 | → 17 | 稣 18 | 赳 19 | 

“ : 里 0 | 于 1 | 家 2 | 胜 3 | 得 4 | 以 5 | 类 6 | 镇 7 | 头 8 | 批 9 | 东 10 | 要 11 | 求 12 | 面 13 | 星 14 | 赴 15 | 将 16 | 字 17 | 写 18 | 边 19 | 

钓 : 嫁 0 | 谦 1 | 眉 2 | 赣 3 | 抹 4 | 绑 5 | 斑 6 | 溜 7 | 屯 8 | 渝 9 | 冤 10 | 滴 11 | 幻 12 | 劝 13 | 沪 14 | 咸 15 | 帅 16 | 饿 17 | 蜂 18 | 暗 19 | 

侨 : 嫁 0 | 扣 1 | 饿 2 | 茫 3 | 屈 4 | 暗 5 | 愁 6 | 蕴 7 | 恒 8 | 码 9 | 啥 10 | 竣 11 | 眉 12 | 挣 13 | 沪 14 | 劝 15 | 谦 16 | 磨 17 | 幻 18 | 渝 19 | 

芬 : 框 0 | 夹 1 | 磨 2 | 雇 3 | 苍 4 | 辐 5 | 赣 6 | 钓 7 | 慷 8 | 襄 9 | 谐 10 | 牡 11 | 喧 12 | 匈 13 | 颜 14 | 畜 15 | 咸 16 | 滴 17 | 邯 18 | 缅 19 | 

姐 : 猫 0 | 暗 1 | 勋 2 | 垂 3 | 幻 4 | 蜂 5 | 恒 6 | 仙 7 | 码 8 | 珊 9 | 缠 10 | 饿 11 | 屯 12 | 恋 13 | 巾 14 | 闲 15 | 奸 16 | 吞 17 | 帽 18 | 冀 19 | 

颂 : 衔 0 | 殿 1 | 绎 2 | 穴 3 | 芒 4 | 杉 5 | 崖 6 | 鹤 7 | 秆 8 | 夷 9 | 焰 10 | 弦 11 | 亭 12 | 撼 13 | 彦 14 | 荫 15 | 罐 16 | 吞 17 | 卜 18 | 禹 19 | 

潼 : 仟 0 | 氦 1 | 拗 2 | 咣 3 | 赅 4 | 笪 5 | 撵 6 | 唏 7 | 酉 8 | 汴 9 | 狈 10 | 畿 11 | 亳 12 | 莒 13 | 菪 14 | 骡 15 | 麒 16 | 矾 17 | ━ 18 | 逅 19 | 

镛 : 汴 0 | → 1 | 妓 2 | 仟 3 | 氦 4 | 卤 5 | 酉 6 | 莒 7 | 笪 8 | 咣 9 | 赅 10 | 珲 11 | 诋 12 | 菩 13 | 撵 14 | 硼 15 | 钒 16 | 撷 17 | 狰 18 | 邕 19 | 

梵 : 朊 0 | 祢 1 | 奂 2 | 殍 3 | 蛐 4 | 啜 5 | 蜷 6 | 懑 7 | 锃 8 | 鹦 9 | 缳 10 | 幺 11 | 俎 12 | 锴 13 | 鏊 14 | 豇 15 | 魇 16 | 艮 17 | 漕 18 | 鳏 19 | 

妓 : 筵 0 | 唉 1 | 噌 2 | 颍 3 | 碣 4 | 邈 5 | 鲢 6 | 遛 7 | 踉 8 | 勐 9 | 榛 10 | 骧 11 | 洇 12 | 谤 13 | 擘 14 | 蕤 15 | 泔 16 | 诏 17 | 藁 18 | 邗 19 | 

萸 : 狈 0 | 赅 1 | 撵 2 | 咣 3 | ━ 4 | 硼 5 | → 6 | 搐 7 | 俐 8 | 拗 9 | 珲 10 | 烬 11 | 撷 12 | 氦 13 | 酉 14 | 燧 15 | 莒 16 | 噜 17 | 妓 18 | 狞 19 | 

澹 : 瓤 0 | 敕 1 | 酰 2 | 缳 3 | 煸 4 | 菽 5 | 裟 6 | 蚤 7 | 魇 8 | 鼾 9 | 椴 10 | 嗨 11 | 筠 12 | 艮 13 | 慵 14 | 蹇 15 | 啜 16 | 诘 17 | 绻 18 | 锴 19 | 

汛 : 恋 0 | 拾 1 | 薪 2 | 穴 3 | 弦 4 | 荫 5 | 崖 6 | 愁 7 | 桩 8 | 鹤 9 | 饿 10 | 躯 11 | 忌 12 | 秆 13 | 奸 14 | 恒 15 | 蕴 16 | 巍 17 | 孕 18 | 殿 19 | 

稽 : 攀 0 | 挫 1 | 谐 2 | 寄 3 | 苍 4 | 钻 5 | 雇 6 | 夹 7 | 崭 8 | 磨 9 | 欲 10 | 颜 11 | 赣 12 | 钓 13 | 悠 14 | 辐 15 | 劝 16 | 缅 17 | 陪 18 | 畜 19 | 

扭 : 挣 0 | 隔 1 | 劝 2 | 昔 3 | 弄 4 | 赚 5 | 凭 6 | 寄 7 | 仿 8 | 雇 9 | 崭 10 | 挫 11 | 攀 12 | 谐 13 | 涨 14 | 肩 15 | 陪 16 | 屈 17 | 悠 18 | 俺 19 | 

枇 : 麾 0 | 遛 1 | 晌 2 | 嗲 3 | 诏 4 | 祢 5 | 夼 6 | 碓 7 | 怂 8 | 琏 9 | 簪 10 | 朊 11 | 芊 12 | 翊 13 | 诘 14 | 荚 15 | 苕 16 | 啾 17 | 锑 18 | 蟥 19 | 

岫 : 罘 0 | 鹩 1 | 猗 2 | 腱 3 | 诰 4 | 崂 5 | 阚 6 | 佞 7 | 薮 8 | 罟 9 | 虱 10 | 喹 11 | 甙 12 | 龉 13 | 衩 14 | 猬 15 | 鲱 16 | ° 17 | 亻 18 | 槎 19 | 

碣 : 酪 0 | 拈 1 | 骧 2 | 矾 3 | 颍 4 | 碣 5 | 靓 6 | 荥 7 | 俾 8 | 踉 9 | 莨 10 | 龛 11 | 昱 12 | 拗 13 | 鲢 14 | 蓿 15 | 菪 16 | 旖 17 | 榛 18 | 勐 19 | 

鹏 : 萄 0 | 洁 1 | 刷 2 | 御 3 | 旨 4 | 蓄 5 | 暖 6 | 慨 7 | 贺 8 | 叹 9 | 耗 10 | 楚 11 | 睛 12 | 菜 13 | 谢 14 | 淀 15 | 憾 16 | 踪 17 | 饰 18 | 洋 19 | 

跃 : 募 0 | 垸 1 | 词 2 | 闲 3 | 杉 4 | 亭 5 | 垒 6 | 勋 7 | 垂 8 | 旋 9 | 亮 10 | 暗 11 | 恒 12 | 皇 13 | 圈 14 | 殿 15 | 码 16 | 痛 17 | 稻 18 | 拟 19 | 

摆 : 寄 0 | 肩 1 | 孤 2 | 扭 3 | 仿 4 | 凭 5 | 隔 6 | 坐 7 | 弄 8 | 钻 9 | 浓 10 | 涨 11 | 摆 12 | 崭 13 | 陪 14 | 诸 15 | 疲 16 | 挫 17 | 穿 18 | 悠 19 | 

暴 : 柏 0 | 茶 1 | 庄 2 | 畜 3 | 塑 4 | 皇 5 | 灌 6 | 磨 7 | 甲 8 | 戏 9 | 暗 10 | 亮 11 | 欲 12 | 昭 13 | 闲 14 | 脉 15 | 滴 16 | 码 17 | 寺 18 | 苍 19 | 

篮 : 御 0 | 踪 1 | 暖 2 | 淀 3 | 旋 4 | 耗 5 | 叹 6 | 刷 7 | 淑 8 | 撼 9 | 杉 10 | 贺 11 | 蓄 12 | 穴 13 | 荫 14 | 秆 15 | 馈 16 | 圈 17 | 薪 18 | 崖 19 | 

腼 : 遛 0 | 诏 1 | 夼 2 | 怂 3 | 晌 4 | 唉 5 | 锑 6 | 碓 7 | 琏 8 | 邗 9 | 孑 10 | 荚 11 | 簪 12 | 朊 13 | 翊 14 | 嗽 15 | 啾 16 | 邈 17 | 躏 18 | 祢 19 | 

圣 : 畜 0 | 滴 1 | 茶 2 | 暗 3 | 昭 4 | 夹 5 | 闲 6 | 肆 7 | 颜 8 | 斑 9 | 帽 10 | 苍 11 | 赣 12 | 磨 13 | 寺 14 | 柯 15 | 盗 16 | 逊 17 | 屯 18 | 霍 19 | 

旱 : 暗 0 | 眉 1 | 欲 2 | 扣 3 | 磨 4 | 挫 5 | 劝 6 | 谦 7 | 赣 8 | 滴 9 | 幻 10 | 苍 11 | 浅 12 | 码 13 | 垂 14 | 皇 15 | 蕴 16 | 闲 17 | 恒 18 | 斑 19 | 

琨 : 鹤 0 | 崖 1 | 冕 2 | 芒 3 | 焰 4 | 楠 5 | 弦 6 | 啸 7 | 纂 8 | 拾 9 | 淌 10 | 筝 11 | 碟 12 | 荫 13 | 奸 14 | 杼 15 | 扇 16 | 瞻 17 | 钊 18 | 穴 19 | 

篑 : 骛 0 | 舔 1 | 隍 2 | 蕃 3 | 嗷 4 | 邈 5 | 鲢 6 | 渑 7 | 湄 8 | 擘 9 | 筵 10 | 遛 11 | 纰 12 | 阉 13 | 唉 14 | 骧 15 | 噌 16 | 颍 17 | 钕 18 | 谕 19 | 

殴 : 铮 0 | 剔 1 | 秃 2 | 琢 3 | 熬 4 | 烫 5 | 岱 6 | 猴 7 | 斩 8 | 泵 9 | 抖 10 | 翩 11 | 峭 12 | 兽 13 | 匡 14 | 驿 15 | 钮 16 | 稚 17 | 毯 18 | 晃 19 | 

氪 : 碣 0 | 骧 1 | 唉 2 | 颍 3 | 谤 4 | 鲢 5 | 踉 6 | 荥 7 | 噌 8 | 邈 9 | 鲲 10 | 蕤 11 | 榛 12 | 蓿 13 | 靓 14 | 泔 15 | 擘 16 | 拈 17 | 邗 18 | 洇 19 | 

桅 : 骧 0 | 碣 1 | 颍 2 | 唉 3 | 邈 4 | 鲢 5 | 擘 6 | 踉 7 | 谤 8 | 荥 9 | 噌 10 | 蕤 11 | 洇 12 | 鲲 13 | 拈 14 | 泔 15 | 靓 16 | 邗 17 | 崮 18 | 铣 19 | 

懒 : 咋 0 | 锄 1 | 馒 2 | 拣 3 | 榨 4 | 逗 5 | 猴 6 | 熬 7 | 峭 8 | 宠 9 | 焉 10 | 皱 11 | 蜡 12 | 颐 13 | 氨 14 | 斩 15 | 烫 16 | 矫 17 | 峙 18 | 虞 19 | 

咻 : 筠 0 | 啜 1 | 魇 2 | 椴 3 | 艮 4 | 鳅 5 | 诘 6 | 敕 7 | 蚤 8 | 蟥 9 | 簪 10 | 酰 11 | 嗲 12 | 锴 13 | 炀 14 | 荚 15 | 琊 16 | 菽 17 | 鏊 18 | 酩 19 | 

炜 : 莓 0 | 跤 1 | 衅 2 | 炜 3 | 蓓 4 | 廓 5 | 瓣 6 | 榴 7 | 邃 8 | 碟 9 | 膛 10 | 殴 11 | 陲 12 | 酵 13 | 坞 14 | 剔 15 | 髦 16 | 纂 17 | 姨 18 | 疤 19 | 

皱 : 虞 0 | 斩 1 | 峭 2 | 秃 3 | 挟 4 | 匡 5 | 仕 6 | 澎 7 | 锄 8 | 钮 9 | 哇 10 | 祠 11 | 坞 12 | 贻 13 | 剔 14 | 蠢 15 | 岔 16 | 檀 17 | 猴 18 | 疤 19 | 

佑 : 檀 0 | 疤 1 | 梓 2 | 炙 3 | 痰 4 | 坞 5 | 禺 6 | 钵 7 | 桓 8 | 墒 9 | 婷 10 | 擎 11 | 醋 12 | 仕 13 | 毡 14 | 陲 15 | 髦 16 | 狸 17 | 嘘 18 | 衅 19 | 

迩 : 衅 0 | 跤 1 | 疤 2 | 髦 3 | 廓 4 | 膛 5 | 坞 6 | 炜 7 | 梓 8 | 剔 9 | 炙 10 | 莓 11 | 檀 12 | 禺 13 | 陲 14 | 殴 15 | 榴 16 | 痰 17 | 酵 18 | 墒 19 | 

馒 : 狸 0 | 擎 1 | 嘘 2 | 毡 3 | 迩 4 | 醋 5 | 褥 6 | 唁 7 | 蛀 8 | 崽 9 | 瀛 10 | 钵 11 | 萋 12 | 炙 13 | 媲 14 | 驹 15 | 痰 16 | 梓 17 | 垢 18 | 桓 19 | 

黑 : 抵 0 | 浓 1 | 湘 2 | 胸 3 | 粗 4 | 甲 5 | 驾 6 | 邮 7 | 孤 8 | 穿 9 | 混 10 | 钻 11 | 翻 12 | 滑 13 | 汤 14 | 锻 15 | 描 16 | 戏 17 | 抛 18 | 宽 19 | 

穹 : 唁 0 | 钵 1 | 崽 2 | 蛀 3 | 笃 4 | 垢 5 | 媲 6 | 吭 7 | 芸 8 | 毡 9 | 褥 10 | 迩 11 | 偎 12 | 簧 13 | 禧 14 | 瀛 15 | 淆 16 | 痫 17 | 嘘 18 | 逍 19 | 

廓 : 瀛 0 | 擎 1 | 钵 2 | 瞪 3 | 唁 4 | 嘘 5 | 梓 6 | 痰 7 | 毡 8 | 仕 9 | 褥 10 | 炙 11 | 祠 12 | 粽 13 | 疤 14 | 蠢 15 | 挟 16 | 匀 17 | 崽 18 | 醋 19 | 

兀 : 瞪 0 | 瀛 1 | 雌 2 | 粽 3 | 囿 4 | 匀 5 | 仕 6 | 萋 7 | 蠢 8 | 亵 9 | 祠 10 | 泾 11 | 汩 12 | 诙 13 | 虔 14 | 岔 15 | 嘘 16 | 拄 17 | 挟 18 | 蛀 19 | 

胞 : 旋 0 | 拟 1 | 昂 2 | 彦 3 | 稻 4 | 殿 5 | 杉 6 | 夷 7 | 穴 8 | 圈 9 | 淑 10 | 垸 11 | 巧 12 | 绎 13 | 卜 14 | 亭 15 | 撼 16 | 脉 17 | 焰 18 | 炳 19 | 

灯 : 旋 0 | 杉 1 | 彦 2 | 昂 3 | 稻 4 | 圈 5 | 玛 6 | 殿 7 | 亭 8 | 垸 9 | 脉 10 | 篮 11 | 卜 12 | 衣 13 | 巧 14 | 昭 15 | 罐 16 | 魁 17 | 雪 18 | 磁 19 | 

楔 : 胱 0 | 芥 1 | 鲟 2 | 荥 3 | 悯 4 | 碣 5 | 浣 6 | 谕 7 | 酪 8 | 踉 9 | 桅 10 | 饯 11 | 龛 12 | 犟 13 | 颍 14 | 戕 15 | 拈 16 | 辊 17 | 唏 18 | 菪 19 | 

混 : 胸 0 | 钻 1 | 浓 2 | 陪 3 | 孤 4 | 混 5 | 仿 6 | 苍 7 | 钓 8 | 肩 9 | 缅 10 | 夹 11 | 磨 12 | 颜 13 | 谐 14 | 甲 15 | 丈 16 | 挫 17 | 雇 18 | 滑 19 | 

鳖 : 砭 0 | 霆 1 | 淅 2 | 轶 3 | 觞 4 | 荤 5 | 匣 6 | 戛 7 | 嘶 8 | 嗅 9 | 偕 10 | 丐 11 | 罔 12 | 楣 13 | 赳 14 | 狡 15 | 盹 16 | 玷 17 | 睬 18 | 鹜 19 | 

