<unk>591 : 卖 0 | 迷 1 | 亮 2 | 
<unk>3,912 : 鳖 0 | 掖 1 | 珞 2 | 

<unk>3 : 大 0 | 等 1 | 于 2 | 

<unk>2,028 : 鬼 0 | 猫 1 | 饿 2 | 

<unk>6 : 时 0 | 目 1 | 之 2 | 

<unk>1,974 : 菊 0 | 撼 1 | 穴 2 | 

<unk>3,075 : 氯 0 | 侄 1 | 沁 2 | 

<unk>3,072 : 哮 0 | 壑 1 | 掷 2 | 

<unk>3,078 : 懒 0 | 耸 1 | 琢 2 | 

<unk>132 : 短 0 | 曾 1 | 由 2 | 

<unk>135 : 足 0 | 避 1 | 求 2 | 

<unk>138 : 发 0 | 特 1 | 支 2 | 

<unk>318 : 援 0 | 亮 1 | 高 2 | 

<unk>648 : 桑 0 | 牛 1 | 麦 2 | 

<unk>312 : 信 0 | 文 1 | 运 2 | 

<unk>645 : 杰 0 | 瓦 1 | 图 2 | 

<unk>642 : 贴 0 | 痛 1 | 扣 2 | 

<unk>315 : 油 0 | 麦 1 | 路 2 | 

<unk>2,334 : 崖 0 | 衔 1 | 绎 2 | 

<unk>2,448 : 盏 0 | 锲 1 | 郅 2 | 

<unk>2,742 : 捏 0 | 惶 1 | 猴 2 | 

<unk>2,442 : 萎 0 | 绑 1 | 邵 2 | 

<unk>483 : 视 0 | 赠 1 | 险 2 | 

<unk>480 : 热 0 | 驾 1 | 锻 2 | 

<unk>486 : 热 0 | 驾 1 | 锻 2 | 

<unk>2,445 : 鞍 0 | 绚 1 | 冤 2 | 

<unk>4,161 : 轶 0 | 淇 1 | 盹 2 | 

<unk>4,167 : 糅 0 | 嗅 1 | 楣 2 | 

<unk>4,164 : 鲟 0 | 拗 1 | 仟 2 | 

<unk>3,102 : 忪 0 | 绾 1 | 箢 2 | 

<unk>3,105 : 侗 0 | 膛 1 | 粱 2 | 

<unk>267 : 消 0 | 谈 1 | 农 2 | 

<unk>264 : 购 0 | 星 1 | 镇 2 | 

<unk>261 : 赠 0 | 洁 1 | 值 2 | 

<unk>798 : 麦 0 | 彩 1 | 雪 2 | 

<unk>795 : 谁 0 | 尊 1 | 摆 2 | 

<unk>792 : 徐 0 | 董 1 | 乌 2 | 

<unk>4,572 : 鲇 0 | 簪 1 | 碓 2 | 

<unk>4,575 : 谕 0 | 碣 1 | 酪 2 | 

<unk>4,578 : 沏 0 | 敕 1 | 瓤 2 | 

<unk>864 : 默 0 | 痛 1 | 亮 2 | 

<unk>21 : 支 0 | 各 1 | 特 2 | 

<unk>867 : 气 0 | 赞 1 | 防 2 | 

<unk>27 : 高 0 | 部 1 | 出 2 | 

<unk>861 : 锻 0 | 禁 1 | 垃 2 | 

<unk>4,374 : 峁 0 | 燧 1 | 胤 2 | 

<unk>24 : 里 0 | 于 1 | 家 2 | 

<unk>1,962 : 嫁 0 | 谦 1 | 眉 2 | 

<unk>1,611 : 嫁 0 | 扣 1 | 茫 2 | 

<unk>1,614 : 框 0 | 夹 1 | 芬 2 | 

<unk>1,617 : 猫 0 | 暗 1 | 勋 2 | 

<unk>1,968 : 衔 0 | 殿 1 | 绎 2 | 

<unk>4,287 : 仟 0 | 氦 1 | 拗 2 | 

<unk>4,284 : 汴 0 | → 1 | 妓 2 | 

<unk>4,281 : 悌 0 | 奂 1 | 幛 2 | 

<unk>4,758 : 筵 0 | 唉 1 | 噌 2 | 

<unk>4,752 : 狈 0 | 赅 1 | 撵 2 | 

<unk>4,755 : 瓤 0 | 敕 1 | 酰 2 | 

<unk>1,764 : 恋 0 | 拾 1 | 薪 2 | 

<unk>1,767 : 谐 0 | 寄 1 | 苍 2 | 

<unk>1,761 : 挣 0 | 隔 1 | 劝 2 | 

<unk>4,593 : 麾 0 | 遛 1 | 晌 2 | 

<unk>4,590 : 倭 0 | 碚 1 | 猗 2 | 

<unk>4,596 : 酪 0 | 拈 1 | 骧 2 | 

<unk>1,149 : 萄 0 | 洁 1 | 刷 2 | 

<unk>1,146 : 募 0 | 垸 1 | 词 2 | 

<unk>1,140 : 寄 0 | 肩 1 | 孤 2 | 

<unk>1,143 : 柏 0 | 茶 1 | 庄 2 | 

<unk>1,548 : 御 0 | 暖 1 | 淀 2 | 

<unk>4,311 : 遛 0 | 诏 1 | 夼 2 | 

<unk>1,542 : 芬 0 | 滴 1 | 茶 2 | 

<unk>1,545 : 暗 0 | 眉 1 | 欲 2 | 

<unk>2,856 : 鹤 0 | 冕 1 | 芒 2 | 

<unk>4,629 : 骛 0 | 舔 1 | 隍 2 | 

<unk>2,853 : 铮 0 | 剔 1 | 秃 2 | 

<unk>4,314 : 碣 0 | 骧 1 | 唉 2 | 

<unk>4,626 : 骧 0 | 碣 1 | 颍 2 | 

<unk>2,859 : 咋 0 | 锄 1 | 馒 2 | 

<unk>4,623 : 筠 0 | 啜 1 | 魇 2 | 

<unk>3,249 : 莓 0 | 跤 1 | 衅 2 | 

<unk>3,246 : 虞 0 | 峭 1 | 秃 2 | 

<unk>3,240 : 疤 0 | 梓 1 | 篓 2 | 

<unk>3,243 : 衅 0 | 跤 1 | 疤 2 | 

<unk>3,489 : 狸 0 | 擎 1 | 嘘 2 | 

<unk>924 : 抵 0 | 浓 1 | 湘 2 | 

<unk>3,486 : 唁 0 | 钵 1 | 崽 2 | 

<unk>3,483 : 瀛 0 | 擎 1 | 篓 2 | 

<unk>3,480 : 瞪 0 | 瀛 1 | 炫 2 | 

<unk>1,383 : 旋 0 | 拟 1 | 昂 2 | 

<unk>1,380 : 旋 0 | 杉 1 | 彦 2 | 

<unk>4,425 : 胱 0 | 芥 1 | 鲟 2 | 

<unk>1,386 : 胸 0 | 钻 1 | 浓 2 | 

<unk>3,801 : 砭 0 | 霆 1 | 淅 2 | 

<unk>1,389 : 弄 0 | 隔 1 | 凭 2 | 

<unk>3,807 : 霆 0 | 淅 1 | 罔 2 | 

<unk>3,804 : 羌 0 | 梵 1 | 钠 2 | 

<unk>2,631 : 耸 0 | 抖 1 | 晃 2 | 

<unk>2,145 : 屯 0 | 邵 1 | 柯 2 | 

<unk>2,142 : 赣 0 | 沾 1 | 劝 2 | 

<unk>2,637 : 噪 0 | 俯 1 | 铝 2 | 

<unk>2,148 : 忌 0 | 觅 1 | 孕 2 | 

<unk>3,663 : 娣 0 | 捺 1 | 屉 2 | 

<unk>3,660 : 泾 0 | 逍 1 | 粽 2 | 

<unk>3,666 : 粱 0 | 烷 1 | 铱 2 | 

<unk>3,669 : 鹭 0 | 搂 1 | 毙 2 | 

<unk>2,709 : 虾 0 | 熬 1 | 凿 2 | 

<unk>2,706 : 喇 0 | 铝 1 | 冤 2 | 

<unk>2,700 : 劾 0 | 硫 1 | 禹 2 | 

<unk>2,703 : 稚 0 | 劾 1 | 仑 2 | 

<unk>2,031 : 夹 0 | 滴 1 | 喧 2 | 

<unk>2,037 : 绑 0 | 邵 1 | 珊 2 | 

<unk>1,098 : 摆 0 | 尊 1 | 扩 2 | 

<unk>2,034 : 殿 0 | 杉 1 | 彦 2 | 

<unk>2,526 : 禹 0 | 匙 1 | 萃 2 | 

<unk>2,520 : 阀 0 | 翩 1 | 缠 2 | 

<unk>2,523 : 抹 0 | 溜 1 | 呵 2 | 

<unk>2,529 : 晃 0 | 饿 1 | 蜂 2 | 

<unk>3,066 : 葆 0 | 佣 1 | 撬 2 | 

<unk>3,060 : 锚 0 | 壑 1 | 贱 2 | 

<unk>3,063 : 殴 0 | 秃 1 | 岱 2 | 

<unk>3,069 : 颐 0 | 氯 1 | 沁 2 | 

<unk>126 : 带 0 | 写 1 | 升 2 | 

<unk>120 : 镇 0 | 藏 1 | 胜 2 | 

<unk>123 : 军 0 | 客 1 | 兴 2 | 

<unk>129 : 目 0 | 采 1 | 减 2 | 

<unk>1,158 : 磨 0 | 薄 1 | 闲 2 | 

<unk>309 : 图 0 | 客 1 | 浩 2 | 

<unk>657 : 牛 0 | 客 1 | 灯 2 | 

<unk>654 : 徒 0 | 景 1 | 症 2 | 

<unk>300 : 写 0 | 亮 1 | 返 2 | 

<unk>651 : 估 0 | 佩 1 | 艇 2 | 

<unk>498 : 光 0 | 西 1 | 苏 2 | 

<unk>2,451 : 雀 0 | 裹 1 | 渣 2 | 

<unk>1,095 : 兵 0 | 胛 1 | 榉 2 | 

<unk>2,454 : 瑰 0 | 兽 1 | 蜂 2 | 

<unk>2,457 : 兽 0 | 硫 1 | 瑰 2 | 

<unk>492 : 束 0 | 息 1 | 险 2 | 

<unk>4,116 : 玷 0 | 嘶 1 | 濮 2 | 

<unk>4,113 : 撵 0 | 赅 1 | 氦 2 | 

<unk>4,110 : 氦 0 | 笪 1 | 拗 2 | 

<unk>3,111 : 窘 0 | 咆 1 | 厮 2 | 

<unk>3,114 : 泵 0 | 匡 1 | 秃 2 | 

<unk>3,117 : 侣 0 | 衅 1 | 藉 2 | 

<unk>4,119 : 坨 0 | 耆 1 | 拗 2 | 

<unk>270 : 扩 0 | 回 1 | 扶 2 | 

<unk>273 : 涨 0 | 亮 1 | 痛 2 | 

<unk>276 : 曾 0 | 由 1 | 你 2 | 

<unk>279 : 家 0 | 类 1 | 疑 2 | 

<unk>780 : 垸 0 | 昂 1 | 稻 2 | 

<unk>783 : 赴 0 | 升 1 | 缩 2 | 

<unk>4,029 : 陛 0 | 盹 1 | 撷 2 | 

<unk>786 : 类 0 | 耗 1 | 醒 2 | 

<unk>789 : 感 0 | 信 1 | 赞 2 | 

<unk>4,023 : 芸 0 | 笃 1 | 孢 2 | 

<unk>4,020 : 梵 0 | 镍 1 | 喋 2 | 

<unk>4,026 : 珩 0 | 孢 1 | 钠 2 | 

<unk>4,566 : 簪 0 | 荚 1 | 蕤 2 | 

<unk>4,563 : 菪 0 | 逅 1 | 矾 2 | 

<unk>4,560 : 赅 0 | 咣 1 | 酉 2 | 

<unk>4,569 : 椴 0 | 诘 1 | 啜 2 | 

<unk>30 : 出 0 | 要 1 | 约 2 | 

<unk>876 : 疑 0 | 册 1 | 架 2 | 

<unk>1,818 : 踪 0 | 醉 1 | 菊 2 | 

<unk>4,362 : 噎 0 | 酰 1 | 椴 2 | 

<unk>4,365 : 犟 0 | 仟 1 | 戕 2 | 

<unk>36 : 东 0 | 胜 1 | 要 2 | 

<unk>870 : 偿 0 | 贺 1 | 耗 2 | 

<unk>1,812 : 苍 0 | 雇 1 | 颜 2 | 

<unk>4,368 : 戕 0 | 笪 1 | 唏 2 | 

<unk>879 : 扣 0 | 穿 1 | 隔 2 | 

<unk>1,815 : 刷 0 | 淀 1 | 撼 2 | 

<unk>1,971 : 劝 0 | 雇 1 | 沾 2 | 

<unk>1,605 : 袁 0 | 魏 1 | 龚 2 | 

<unk>1,602 : 浅 0 | 隔 1 | 屈 2 | 

<unk>1,977 : 奸 0 | 蜂 1 | 赃 2 | 

<unk>1,608 : 塑 0 | 饲 1 | 稽 2 | 

<unk>4,296 : 岷 0 | 觞 1 | 荤 2 | 

<unk>4,290 : 硼 0 | 腆 1 | 胤 2 | 

<unk>4,293 : 懵 0 | 霆 1 | 砭 2 | 

<unk>4,299 : 箫 0 | 戛 1 | 赳 2 | 

<unk>810 : 翻 0 | 涉 1 | 带 2 | 

<unk>813 : 息 0 | 势 1 | 障 2 | 

<unk>2,994 : 呐 0 | 宠 1 | 蜡 2 | 

<unk>1,779 : 钻 0 | 雇 1 | 崭 2 | 

<unk>2,997 : 剔 0 | 跤 1 | 麓 2 | 

<unk>2,991 : 揪 0 | 翘 1 | 炕 2 | 

<unk>4,749 : 绂 0 | 嫡 1 | 婕 2 | 

<unk>447 : 升 0 | 涉 1 | 穿 2 | 

<unk>1,773 : 暖 0 | 耗 1 | 叹 2 | 

<unk>4,746 : 荥 0 | 莨 1 | 旖 2 | 

<unk>1,770 : 吞 0 | 罐 1 | 亭 2 | 

<unk>4,743 : 拈 0 | 颍 1 | 昱 2 | 

<unk>1,776 : 垂 0 | 仙 1 | 洽 2 | 

<unk>4,740 : 暌 0 | 楔 1 | 哧 2 | 

<unk>4,581 : 炀 0 | 苕 1 | 啜 2 | 

<unk>4,584 : 夼 0 | 荚 1 | 嗽 2 | 

<unk>4,587 : 诏 0 | 朊 1 | 碓 2 | 

<unk>1,152 : 乌 0 | 魏 1 | 董 2 | 

<unk>2,400 : 仑 0 | 翩 1 | 冀 2 | 

<unk>1,155 : 菜 0 | 篮 1 | 杉 2 | 

<unk>4,128 : 偬 0 | 骁 1 | 葳 2 | 

<unk>2,868 : 烫 0 | 翩 1 | 秃 2 | 

<unk>1,557 : 秆 0 | 撼 1 | 荫 2 | 

<unk>2,862 : 匙 0 | 忱 1 | 仑 2 | 

<unk>1,554 : 勋 0 | 闲 1 | 洽 2 | 

<unk>2,865 : 秃 0 | 崎 1 | 氨 2 | 

<unk>1,551 : 逊 0 | 柯 1 | 磁 2 | 

<unk>4,632 : 蜃 0 | 筠 1 | 酰 2 | 

<unk>4,635 : 旖 0 | 昱 1 | 蓦 2 | 

<unk>3,837 : 柩 0 | 摈 1 | 貂 2 | 

<unk>4,638 : 龛 0 | 颍 1 | 靓 2 | 

<unk>3,270 : 匡 0 | 榴 1 | 瓣 2 | 

<unk>3,903 : 蛀 0 | 逍 1 | 窦 2 | 

<unk>3,900 : 痫 0 | 淆 1 | 禧 2 | 

<unk>3,273 : 匀 0 | 挟 1 | 蠢 2 | 

<unk>3,906 : 嘶 0 | 濮 1 | 戛 2 | 

<unk>3,276 : 毡 0 | 桓 1 | 婷 2 | 

<unk>3,279 : 霓 0 | 镌 1 | 琉 2 | 

<unk>3,909 : 荤 0 | 嗅 1 | 豌 2 | 

<unk>3,471 : 穹 0 | 蠢 1 | 虞 2 | 

<unk>3,477 : 篓 0 | 垢 1 | 婷 2 | 

<unk>3,474 : 祠 0 | 痰 1 | 臃 2 | 

<unk>4,665 : 嫡 0 | 倭 1 | 婕 2 | 

<unk>1,392 : 隔 0 | 凭 1 | 崭 2 | 

<unk>1,395 : 篮 0 | 蒂 1 | 饰 2 | 

<unk>3,879 : 芷 0 | 孢 1 | 戛 2 | 

<unk>3,876 : 淅 0 | 戛 1 | 嗅 2 | 

<unk>1,398 : 灯 0 | 弹 1 | 玛 2 | 

<unk>3,873 : 钒 0 | 撷 1 | 狞 2 | 

<unk>3,870 : 惭 0 | 撩 1 | 剽 2 | 

<unk>2,604 : 拾 0 | 仑 1 | 咐 2 | 

<unk>2,607 : 硫 0 | 阀 1 | 缠 2 | 

<unk>2,601 : 赃 0 | 拾 1 | 扇 2 | 

<unk>3,615 : 粽 0 | 逍 1 | 雌 2 | 

<unk>3,612 : 茸 0 | 簧 1 | 芸 2 | 

<unk>3,618 : 褥 0 | 嘘 1 | 擎 2 | 

<unk>3,585 : 挟 0 | 炙 1 | 岔 2 | 

<unk>3,582 : 臧 0 | 篝 1 | 眩 2 | 

<unk>3,588 : 擎 0 | 桓 1 | 炙 2 | 

<unk>2,730 : 兮 0 | 驿 1 | 拌 2 | 

<unk>2,733 : 溜 0 | 栖 1 | 蜡 2 | 

<unk>2,736 : 蓓 0 | 瓣 1 | 碟 2 | 

<unk>2,739 : 敷 0 | 羞 1 | 绚 2 | 

<unk>2,049 : 亭 0 | 珊 1 | 帽 2 | 

<unk>2,046 : 颜 0 | 悠 1 | 咸 2 | 

<unk>2,511 : 呵 0 | 邵 1 | 熏 2 | 

<unk>2,514 : 芒 0 | 扇 1 | 冀 2 | 

<unk>2,043 : 芒 0 | 愤 1 | 夷 2 | 

<unk>2,040 : 仙 0 | 珊 1 | 斑 2 | 

<unk>2,517 : 婉 0 | 耸 1 | 翩 2 | 

<unk>2,289 : 苑 0 | 淌 1 | 禹 2 | 

<unk>3,729 : 嗅 0 | 戛 1 | 觞 2 | 

<unk>2,280 : 卜 0 | 夷 1 | 罐 2 | 

<unk>3,051 : 紊 0 | 墅 1 | 拣 2 | 

<unk>3,720 : 淆 0 | 禧 1 | 垢 2 | 

<unk>2,283 : 辐 0 | 钓 1 | 襄 2 | 

<unk>3,054 : 瓣 0 | 姨 1 | 钮 2 | 

<unk>2,286 : 熏 0 | 邵 1 | 咸 2 | 

<unk>3,057 : 澎 0 | 贻 1 | 岔 2 | 

<unk>3,291 : 罔 0 | 偕 1 | 赳 2 | 

<unk>3,297 : 醋 0 | 萋 1 | 驹 2 | 

<unk>3,294 : 猿 0 | 刨 1 | 虔 2 | 

<unk>663 : 予 0 | 你 1 | 由 2 | 

<unk>660 : 穿 0 | 珠 1 | 横 2 | 

<unk>666 : 蒂 0 | 弟 1 | 客 2 | 

<unk>669 : 冬 0 | 宽 1 | 幸 2 | 

<unk>462 : 旱 0 | 耗 1 | 疫 2 | 

<unk>2,469 : 酱 0 | 缤 1 | 骆 2 | 

<unk>468 : 缩 0 | 忧 1 | 衷 2 | 

<unk>2,466 : 倦 0 | 咐 1 | 霖 2 | 

<unk>2,460 : 耸 0 | 峙 1 | 刹 2 | 

<unk>2,463 : 渝 0 | 愚 1 | 跻 2 | 

<unk>4,104 : 戛 0 | 濮 1 | 赳 2 | 

<unk>4,107 : 椭 0 | 豌 1 | 戛 2 | 

<unk>4,101 : 矾 0 | 龛 1 | 踉 2 | 

<unk>2,199 : 绎 0 | 弦 1 | 焰 2 | 

<unk>3,126 : 禺 0 | 墒 1 | 馁 2 | 

<unk>2,190 : 咸 0 | 邵 1 | 喧 2 | 

<unk>2,193 : 刹 0 | 饿 1 | 倦 2 | 

<unk>204 : 由 0 | 以 1 | 将 2 | 

<unk>207 : 洁 0 | 藏 1 | 慨 2 | 

<unk>201 : 岸 0 | 点 1 | 幕 2 | 

<unk>1,251 : 邀 0 | 鼾 1 | 渌 2 | 

<unk>993 : 字 0 | 星 1 | 架 2 | 

<unk>4,038 : 炖 0 | 赳 1 | 腆 2 | 

<unk>4,032 : 噜 0 | 腆 1 | 稣 2 | 

<unk>4,035 : 觞 0 | 盹 1 | 撷 2 | 

<unk>1,257 : 班 0 | 核 1 | 储 2 | 

<unk>1,620 : 梯 0 | 颂 1 | 殿 2 | 

<unk>519 : 功 0 | 触 1 | 册 2 | 

<unk>849 : 珠 0 | 横 1 | 奔 2 | 

<unk>510 : 客 0 | 浩 1 | 朋 2 | 

<unk>843 : 客 0 | 雪 1 | 弹 2 | 

<unk>840 : 薄 0 | 浓 1 | 混 2 | 

<unk>513 : 德 0 | 洛 1 | 车 2 | 

<unk>846 : 控 0 | 弟 1 | 弹 2 | 

<unk>516 : 痛 0 | 坐 1 | 返 2 | 

<unk>1,809 : 荫 0 | 撼 1 | 薪 2 | 

<unk>4,356 : 嗲 0 | 碓 1 | 朊 2 | 

<unk>4,350 : 唉 0 | 噌 1 | 颍 2 | 

<unk>4,353 : 荚 0 | 蟥 1 | 琏 2 | 

<unk>1,800 : 冶 0 | 肆 1 | 俺 2 | 

<unk>1,803 : 雇 0 | 斑 1 | 闲 2 | 

<unk>684 : 遗 0 | 农 1 | 汽 2 | 

<unk>4,359 : 闫 0 | 钽 1 | 楔 2 | 

<unk>687 : 彩 0 | 雪 1 | 弟 2 | 

<unk>2,088 : 斡 0 | 鲍 1 | 牡 2 | 

<unk>2,232 : 饬 0 | 蹇 1 | 绻 2 | 

<unk>1,944 : 穴 0 | 撼 1 | 荫 2 | 

<unk>1,947 : 鞠 0 | 帷 1 | 敖 2 | 

<unk>1,941 : 悠 0 | 崭 1 | 赚 2 | 

<unk>1,356 : 肆 0 | 巧 1 | 淹 2 | 

<unk>2,988 : 朊 0 | 苕 1 | 幛 2 | 

<unk>1,446 : 杉 0 | 圈 1 | 薪 2 | 

<unk>1,497 : 昭 0 | 茶 1 | 肆 2 | 

<unk>1,494 : 闲 0 | 斑 1 | 帅 2 | 

<unk>2,985 : 榨 0 | 峭 1 | 颐 2 | 

<unk>1,491 : 帽 0 | 洽 1 | 码 2 | 

<unk>1,707 : 涅 0 | 枢 1 | 卒 2 | 

<unk>1,704 : 孤 0 | 浓 1 | 钓 2 | 

<unk>1,701 : 饿 0 | 茫 1 | 竣 2 | 

<unk>1,125 : 词 0 | 码 1 | 旁 2 | 

<unk>1,122 : 径 0 | 慨 1 | 憾 2 | 

<unk>1,128 : 垒 0 | 弟 1 | 圈 2 | 

<unk>2,877 : 炫 0 | 雌 1 | 诙 2 | 

<unk>2,874 : 跚 0 | 钺 1 | 胥 2 | 

<unk>2,871 : 馒 0 | 扒 1 | 孵 2 | 

<unk>4,647 : 鲢 0 | 谤 1 | 蕤 2 | 

<unk>4,644 : 擘 0 | 蕤 1 | 骁 2 | 

<unk>1,011 : 肩 0 | 扭 1 | 赈 2 | 

<unk>1,017 : 凭 0 | 忧 1 | 屈 2 | 

<unk>1,014 : 累 0 | 拓 1 | 触 2 | 

<unk>4,641 : 蕤 0 | 躏 1 | 琏 2 | 

<unk>3,267 : 哇 0 | 贻 1 | 氨 2 | 

<unk>3,264 : 廓 0 | 膛 1 | 炜 2 | 

<unk>3,915 : 眩 0 | 逍 1 | 潼 2 | 

<unk>3,261 : 倚 0 | 氯 1 | 恬 2 | 

<unk>1,233 : 稻 0 | 磁 1 | 洽 2 | 

<unk>1,230 : 雪 0 | 弟 1 | 贺 2 | 

<unk>1,236 : 疲 0 | 扭 1 | 崭 2 | 

<unk>3,462 : 雌 0 | 虔 1 | 矫 2 | 

<unk>3,465 : 拄 0 | 亵 1 | 逍 2 | 

<unk>3,468 : 祁 0 | 虔 1 | 刨 2 | 

<unk>3,864 : 宓 0 | 匣 1 | 葩 2 | 

<unk>3,867 : 迩 0 | 媲 1 | 禧 2 | 

<unk>3,861 : 镍 0 | 孢 1 | 熹 2 | 

<unk>3,606 : 屎 0 | 芋 1 | 钰 2 | 

<unk>3,600 : 逍 0 | 亘 1 | 篝 2 | 

<unk>3,603 : 簧 0 | 垢 1 | 媲 2 | 

<unk>3,609 : 诙 0 | 惋 1 | 虔 2 | 

<unk>3,594 : 炙 0 | 吭 1 | 嘘 2 | 

<unk>3,597 : 嘘 0 | 亵 1 | 汩 2 | 

<unk>1,023 : 楚 0 | 桩 1 | 揽 2 | 

<unk>3,591 : 嘘 0 | 垢 1 | 媲 2 | 

<unk>2,727 : 祈 0 | 愚 1 | 糟 2 | 

<unk>2,724 : 缳 0 | 豇 1 | 艮 2 | 

<unk>2,721 : 氨 0 | 钮 1 | 贻 2 | 

<unk>2,058 : 缠 0 | 珊 1 | 邵 2 | 

<unk>2,508 : 愚 0 | 斡 1 | 邵 2 | 

<unk>2,055 : 旮 0 | 灏 1 | 樨 2 | 

<unk>2,505 : 啸 0 | 帘 1 | 忱 2 | 

<unk>141 : 扶 0 | 减 1 | 认 2 | 

<unk>2,052 : 婕 0 | 倭 1 | 碚 2 | 

<unk>3,738 : 媲 0 | 垢 1 | 吭 2 | 

<unk>2,298 : 邵 0 | 栖 1 | 珊 2 | 

<unk>147 : 减 0 | 继 1 | 青 2 | 

<unk>3,045 : 佣 0 | 哮 1 | 跤 2 | 

<unk>3,732 : 锴 0 | 缳 1 | 豇 2 | 

<unk>3,735 : 垢 0 | 囡 1 | 啪 2 | 

<unk>2,292 : 跻 0 | 栖 1 | 帅 2 | 

<unk>3,288 : 衩 0 | 甙 1 | 罟 2 | 

<unk>3,282 : 梓 0 | 桓 1 | 臃 2 | 

<unk>3,285 : 朊 0 | 苕 1 | 奂 2 | 

<unk>2,619 : 淌 0 | 萃 1 | 冀 2 | 

<unk>2,613 : 翩 0 | 冀 1 | 霖 2 | 

<unk>1,755 : 溪 0 | 菊 1 | 撼 2 | 

<unk>2,610 : 蜡 0 | 扒 1 | 拣 2 | 

<unk>2,616 : 姨 0 | 麓 1 | 钮 2 | 

<unk>675 : 零 0 | 禁 1 | 浓 2 | 

<unk>672 : 裁 0 | 耗 1 | 叹 2 | 

<unk>678 : 谢 0 | 贺 1 | 藏 2 | 

<unk>2,472 : 栖 0 | 拣 1 | 瞄 2 | 

<unk>471 : 返 0 | 忧 1 | 码 2 | 

<unk>477 : 贺 0 | 弟 1 | 岛 2 | 

<unk>2,475 : 襄 0 | 匈 1 | 糟 2 | 

<unk>474 : 岛 0 | 旨 1 | 耗 2 | 

<unk>4,131 : → 0 | 珲 1 | 搐 2 | 

<unk>2,478 : 冕 0 | 碟 1 | 纂 2 | 

<unk>4,134 : 撮 0 | 濮 1 | 糯 2 | 

<unk>4,446 : 菽 0 | 魇 1 | 酰 2 | 

<unk>4,137 : 喱 0 | 鹚 1 | 饧 2 | 

<unk>3,132 : 桀 0 | 鹚 1 | 轫 2 | 

<unk>2,181 : 巍 0 | 弦 1 | 忌 2 | 

<unk>2,187 : 薪 0 | 萃 1 | 撼 2 | 

<unk>1,881 : 圈 0 | 愤 1 | 弦 2 | 

<unk>2,184 : 跫 0 | 氵 1 | 蕲 2 | 

<unk>3,138 : 虔 0 | 矫 1 | 刨 2 | 

<unk>2,697 : 嚏 0 | 婕 1 | 幔 2 | 

<unk>216 : 程 0 | 民 1 | 均 2 | 

<unk>213 : 星 0 | 册 1 | 岸 2 | 

<unk>210 : 候 0 | 绩 1 | 岸 2 | 

<unk>3,429 : 蜷 0 | 懑 1 | 鹦 2 | 

<unk>219 : 坐 0 | 回 1 | 宽 2 | 

<unk>4,008 : 谑 0 | 硼 1 | 琨 2 | 

<unk>4,005 : 辊 0 | 鲟 1 | 拗 2 | 

<unk>4,002 : 锏 0 | 淇 1 | 聩 2 | 

<unk>858 : 掉 0 | 缩 1 | 旁 2 | 

<unk>855 : 旨 0 | 疫 1 | 饰 2 | 

<unk>501 : 疫 0 | 旨 1 | 饰 2 | 

<unk>4,347 : 啄 0 | 豌 1 | 撇 2 | 

<unk>504 : 睛 0 | 醒 1 | 慨 2 | 

<unk>699 : 伤 0 | 宪 1 | 灵 2 | 

<unk>1,839 : 珊 0 | 洽 1 | 巾 2 | 

<unk>693 : 止 0 | 望 1 | 式 2 | 

<unk>1,836 : 屈 0 | 缔 1 | 昔 2 | 

<unk>690 : 庄 0 | 灌 1 | 树 2 | 

<unk>1,830 : 蕴 0 | 愤 1 | 斑 2 | 

<unk>696 : 滑 0 | 横 1 | 寺 2 | 

<unk>1,833 : 绳 0 | 冈 1 | 锡 2 | 

<unk>1,959 : 柯 0 | 磁 1 | 洽 2 | 

<unk>1,953 : 翰 0 | 弦 1 | 罐 2 | 

<unk>1,950 : 钓 0 | 缅 1 | 慷 2 | 

<unk>1,956 : 弦 0 | 愤 1 | 忌 2 | 

<unk>1,488 : 饰 0 | 弟 1 | 淑 2 | 

<unk>1,485 : 浓 0 | 缅 1 | 陪 2 | 

<unk>1,482 : 匈 0 | 斑 1 | 陪 2 | 

<unk>1,719 : 淑 0 | 撼 1 | 桩 2 | 

<unk>1,716 : 撼 0 | 淑 1 | 焰 2 | 

<unk>1,710 : 斑 0 | 横 1 | 崭 2 | 

<unk>1,713 : 混 0 | 陪 1 | 缅 2 | 

<unk>1,134 : 憾 0 | 耗 1 | 叹 2 | 

<unk>1,137 : 苏 0 | 藏 1 | 弟 2 | 

